year,White,Black,Hispanic,Asian,Other
1/1/1976,89,9,1,0,0
1/1/1980,88,10,2,0,0
1/1/1984,86,10,3,0,0
1/1/1988,85,10,3,0,0
1/1/1992,87,8,2,1,0
1/1/1996,83,10,5,1,0
1/1/2000,81,10,7,2,0
1/1/2004,77,11,8,2,2
1/1/2008,74,13,9,2,3
